1970-an	1970-an
1980-an	1980-an
AALI	AALI
APBN	APBN
APBN-P	APBN-P
Astra	Astra
BEJ	BEJ
BES	BES
BI	BI
BNIMF	BNIMF
Bapepam	Bapepam
Bappenas	Bappenas
Bruto	Bruto
DEJ	DEJ
Danamon	Danamon
Depkeu	Depkeu
Domestik	Domestik
Efek	Efek
Encore	Encore
Energi	Energi
Fitch	Fitch
Indeks	Indeks
Indrawati	Indrawati
Keuangan	Keuangan
LK	LK
LN	LN
Mandiri	Mandiri
Medco	Medco
Menkeu	Menkeu
Multi	Multi
Mulyani	Mulyani
NPL	NPL
Pama	Pama
Panin	Panin
Penerimaan	Penerimaan
penhargaan	Penghargaan
Pratama	Pratama
RAPBN	RAPBN
Ringgit	Ringgit
Rp	Rp
SBI	SBI
SUN	SUN
buah	Sebuah
Selasa	Selasa
TPT	TPT
Tbk	Tbk
baik	Terbaik
a	a
abad	abad
acara	acara
ada	ada
adalah	adalah
adanya	adanya
adat	adat
adik	adik
agak	agak
agama	agama
agar	agar
ahli	ahli
air	air
ajang	ajang
ajar	ajaran
akademi	akademi
akan	akan
akar	akar
akhir	akhir
akhirnya	akhirnya
akibat	akibat
akibat	akibatnya
aksara	aksara
akses	akses
aksi	aksi
aktif	aktif
aktivitas	aktivitas
aktor	aktor
aku	aku
akuisisi	akuisisi
al	al
alam	alam
alami	alami
alat	alat
album	album
alih	alih
alir	aliran
almarhum	almarhum
almond	almond
alternatif	alternatif
amat	amat
ambar	ambar
an	an
anak	anak
anak	anak-anak
analisis	analisis
and	and
anda	anda
anggar	anggaran
anggota	anggota
angin	angin
angka	angka
angkasa	angkasa
angkat	angkatan
angkut	angkutan
anjing	anjing
antar	antar
antara	antara
anti	anti
apa	apa
apabila	apabila
api	api
aplikasi	aplikasi
arah	arah
area	area
armada	armada
arsitektur	arsitektur
arti	arti
artis	artis
arus	arus
asal	asal
asam	asam
aset	aset
asing	asing
asli	asli
aspek	aspek
asumsi	asumsi
atas	atas
atau	atau
atmosfer	atmosfer
atom	atom
audio	audio
awal	awal
awal	awalnya
ayah	ayah
ayat	ayat
b	b
babak	babak
badan	badan
bagaimana	bagaimana
bagaimanapun	bagaimanapun
bagi	bagi
bagi	bagian
bagus	bagus
bahan	bahan
bahasa	bahasa
bahaya	bahaya
bahkan	bahkan
bahwa	bahwa
baik	baik
baja	baja
baju	baju
bakal	bakal
bakar	bakar
ba	bakau
bakteri	bakteri
baku	baku
balap	balapan
balik	balik
ban	ban
band	band
bandar	bandar
bandara	bandara
bangsa	bangsa
bangun	bangunan
bank	bank
bantu	bantuan
banyak	banyak
bara	bara
barang	barang
barang	barang-barang
barat	barat
barel	barel
baru	baru
base	base
basis	basis
batas	batas
baterai	baterai
batu	batu
batu	batuan
bawah	bawah
bayi	bayi
beban	beban
bebas	bebas
beberapa	beberapa
begitu	begitu
bek	bek
bekas	bekas
bekerja	bekerja
belajar	belajar
belakang	belakang
belanja	belanja
belas	belas
beliau	beliau
belum	belum
benar	benar
benda	benda
bendera	bendera
benteng	benteng
bentuk	bentuk
benua	benua
ada	berada
ragam	beragam
agama	beragama
berangkat	berangkat
berani	berani
berapa	berapa
arti	berarti
asal	berasal
berat	berat
