#FF	#ff
#Grillo	#grillo
il	'l
in	'n
inferno	'nferno
infino	'nfino
intelletto	'ntelletto
intendere	'ntesi
intorno	'ntorno
inverso	'nver'
's	's
primo	1º
avere	Abbiamo
Abete	Abete
Adriatico	Adriatico
Africa	Africa
Agnelli	Agnelli
ah	Ah
Al	Al
Alto	Alto
altro	Altro
Amato	Amato
Annunziata	Annunziata
Annunzio	Annunzio
appena	Appena
Argentina	Argentina
Auguste	Auguste
Augusto	Augusto
avere	Aveva
Banco	Banco
Barbara	Barbara
Bari	Bari
Benigni	Benigni
Bisogno	Bisogno
Bocconi	Bocconi
Bomba	Bomba
Borgo	Borgo
Bossi	Bossi
Broglio	Broglio
Bruno	Bruno
buono	Buon
ci	C'
CE	CE
Cern	CERN
che	CHE
chi	CHI
ci	CI
COME	COME
continuare	CONTINUA
contro	CONTRO
Capri	Capri
Casini	Casini
Cassa	Cassa
Castro	Castro
Cavaliere	Cavaliere
Cavallo	Cavallo
che	Che
chi	Chi
Chiara	Chiara
ci	Ci
ciao	Ciao
Cito	Cito
Codice	Codice
College	College
Colombo	Colombo
colui	Colui
con	Con
Confindustria	Confindustria
Coni	Coni
Conte	Conte
Corriere	Corriere
cosa	Cos'
cosa	Cosa
costituzione	Cost.
Costa	Costa
Costanza	Costanza
Creative	Creative
Cristo	Cristo
Croma	Croma
Cuba	Cuba
Dalla	Dalla
deh	Deh
Del	Del
Dell'	Dell'
Della	Della
dovere	Dobbiamo
Donato	Donato
dopo	Dopo
Draghi	Draghi
Duomo	Duomo
e	E
essere	E'
EURO	EURO
e	Ed
essere	Era
essere	Erano
Estero	Estero
Euro	Euro
Fatto	Fatto
Federico	Federigo
Feltri	Feltri
figliuolo	Figliuol
finalmente	Finalmente
Fini	Fini
Finmeccanica	Finmeccanica
Fiorentina	Fiorentina
Firenze	Fiorenza
Fiori	Fiori
Fiorini	Fiorini
Foggia	Foggia
forse	Forse
Franca	Franca
Franco	Franco
Fresi	Fresi
il	GLI
Gemina	Gemina
Generali	Generali
Giornale	Giornale
Giorno	Giorno
Giuliano	Giuliano
Giustizia	Giustizia
già	Già
Golfo	Golfo
Graziano	Graziano
Grillo	Grillo
Guido	Guido
Guglielmo	Guiglielmo
avere	HA
avere	HANNO
avere	Ha
avere	Hai
avere	Hanno
avere	Ho
il	I
io	I'
il	IL
io	IO
italia	ITALIA
ieri	Ieri
il	Il
Imi	Imi
India	India
Indipendenza	Indipendenza
Interno	Interno
io	Io
il	L'
il	LA
il	LE
loro	LORO
il	La
Latina	Latina
Lecco	Lecco
Lega	Lega
lei	Lei
Letta	Letta
Licenziante	Licenziante
Locate	Locate
loro	Loro
Luca	Luca
Luna	Luna
il	L’
ma	MA
me	ME
mi	MI
mio	MIO
ma	Ma
mai	Mai
Major	Major
Marco	Marco
Mare	Mare
Margherita	Margherita
Marino	Marino
Marzia	Marzia
Massa	Massa
Massimo	Massimo
Medio	Medio
meglio	Meglio
Meloni	Meloni
Messa	Messa
mi	Mi
Mina	Mina
Minosse	Minòs
mio	Mio
Monaco	Monaco
Mondiali	Mondiali
Monti	Monti
Moretti	Moretti
Mosca	Mosca
Muti	Muti
Natale	Natale
Nato	Nato
nemmeno	Nemmeno
nessuno	Nessuna
nessuno	Nessuno
niente	Niente
