de	's
11	11e
12	12e
13	13e
14	14e
15	15e
16	16e
17	17e
18	18e
19	19de
19	19e
1	1e
20	20e
20	20ste
21_jarig	21-jarige
21	21ste
23_jarig	23-jarige
2	2de
30	30e
3	3e
43	43e
7	7e
9	9e
aan	Aan
Abraham	Abraham
Air	Air
Aken	Aken
Album	Album
alles	Alles
als	Als
Anglo_Afghaans	Anglo-Afghaanse
Antwerps	Antwerpse
Arena	Arena
Arie	Arie
Assen	Assen
Astrid	Astrid
Bakker	Bakker
Band	Band
Barry	Barry
Bazel	Bazel
Bazels	Bazelse
Beieren	Beieren
Bel	Bel
Belang	Belang
Ben	Ben
Berg	Berg
Bergen	Bergen
Beweging	Beweging
Big	Big
Blok	Blok
Boeddha	Boeddha
Bondsrepubliek	Bondsrepubliek
Bont	Bont
Borg	Borg
Bosch	Bosch
Bourgeois	Bourgeois
Brand	Brand
Brandt	Brandt
Bredaas	Bredase
Brel	Brels
Browning	Browning
burger_oorlog	Burgeroorlog
cd_titel	CD-titel
cd_versie	CD-versie
Che	Che's
Christus	Christus
City	City
Comics	Comics
Concertgebouw	Concertgebouw
Cup	Cup
Dam	Dam
dat	Dat
de	De
Delft	Delft
Den	Den
Devil's	Devil's
Dijk	Dijk
dit	Dit
Don't	Don't
door	Door
Doper	Doper
Drachten	Drachten
Dylan	Dylans
ep	EP
een	Een
Eindhovens	Eindhovense
El	El
Els	Els
en	En
Engels	Engelse
Engelsen	Engelsen
Eva	Eva
Fiat	Fiat
financiën	Financien
Fort	Fort
Fransen	Fransen
Frans_talig	Franstalig
Frans_talig	Franstalige
Frans_talig	Franstaligen
Garden	Garden
Gavere	Gavere
Geert	Geert
Gemeenschapscommissie	Gemeenschapscommissie
Gent	Gent
getuige	Getuigen
Golan_hoogvlakte	Golan-hoogvlakte
Gold	Gold
Gordijn	Gordijn
Grondwet	Grondwet
Habsburger	Habsburgers
Hall	Hall
Handelsblad	Handelsblad
Hans	Hans
Harde	Harde
Hasselts	Hasseltse
Helder	Helder
Henry	Henry
het	Het
hij	Hij
Holocaust	Holocaust
Hoofdstedelijk	Hoofdstedelijk
IJzer	IJzer
IJzeren	IJzeren
iedereen	Iedereen
ik	Ik
Indonesië	Indonesie
Instituut	Instituut
International	International
zijn	Is
Israëlisch	Israelische
Jong	Jong
Joop	Joop
Kale	Kale
kamer_lid	Kamerlid
Khan	Khan
Kim	Kim
Kuifje	Kuifje
La	La
Laden	Laden
Lage	Lage
Laken	Laken
Landen	Landen
Lee	Lee's
Leger	Leger
leger_korps	Legerkorps
Leiden	Leiden
Les	Les
Lieven	Lieven
lijmen	Lijmen
Loon	Loon
Los	Los
Luik	Luik
Luiks	Luikse
Luns	Luns
maar	Maar
Maarten	Maarten
Maastrichts	Maastrichtse
Maatschappij	Maatschappij
Machine	Machine
Marshall_plan	Marshallplan
Midden-Oosten	Midden-Oosten
mijn	Mijn
Mohammed	Mohammed
Monetaire	Monetaire
Museum	Museum
Muur	Muur
NRC	NRC
na	Na
Namen	Namen
Napoleon	Napoleon
Naties	Naties
Nederland	Ned
Nederlands_talig	Nederlandstalige
Nederlands_talig	Nederlandstaligen
Oceaan	Oceaan
Of	Of
Omroep	Omroep
Oost-Romeins	Oost-Romeinse
Oost-Duits	Oostduitse
Oost-Duitser	Oostduitsers
Oosten	Oosten
Open	Open
Oscar	Oscar
over	Over
Parijs_Roubaix	Parijs-Roubaix
Parijs	Parijse
Park	Park
Partij	Partij
Peer	Peer
Peled	Peleds
Peter	Peter
Pierce	Pierce
Piet	Piet
Poel	Poel
Polak	Polak
Post	Post
Raas	Raas
Rat	Rat
Renault	Renault
Rob	Rob
Rolling	Rolling
Roma	Roma
Ronde	Ronde
Royal	Royal
Run	Run
Schelde	Schelde
Series	Series
Sjah	Sjah
Smet	Smet
Sovjet-Unie	Sovjet-Unie
Sovjet	Sovjets
Spelen	Spelen
Sportpaleis	Sportpaleis
staat_prijs	Staatsprijs
Standaard	Standaard
Star	Star
Staten	Staten
Steenbergen	Steenbergen
Stern	Stern
Studenten	Studenten
successie_oorlog	Successieoorlog
Suske	Suske
Sydney	Sydney
TROS	TROS
Testament	Testament
Ton	Ton
Tour	Tour
Trek	Trek
u	U
uit	Uit
unionisme	Unionisme
Utrechts	Utrechtse
VS	V.S.
van	Van
Velde	Velde
Verenigd	Verenigd
Verenigde	Verenigde
Vereniging	Vereniging
Viking	Vikings
Vink	Vink
Visser	Visser
Vlaams_nationalistisch	Vlaams-nationalistische
voor	Voor
Vos	Vos
Vries	Vries
Vrije	Vrije
waan	Waan
Waas	Waas
War	War
wat	Wat
Weert	Weert
welk	Welk
welk	Welke
Wenen	Wenen
Wereldoorlog	Wereldoorlog
Werkspoor	Werkspoor
West-Duits	Westduitse
Westelijke	Westelijke
Westen	Westen
Westers	Westerse
Wit	Wit
Wolf	Wolf
Zesdaagse	Zesdaagse
zijn	Zijn
Zoom	Zoom
Zwarte	Zwarte
Zwolle	Zwolle
à	a
aanstaand	a.s.
Aalst	aalst
aan_bevelen	aanbevolen
aan_bieden	aanbieden
aan_brengen	aanbrengen
aan_doen	aandoen
aangaande	aangaande
aan_bieden	aangeboden
aan_brengen	aangebracht
aan_doen	aangedaan
aan_dringen	aangedrongen
aan_duiden	aangeduid
aan_houden	aangehouden
aan_kopen	aangekocht
aan_komen	aangekomen
aan_kondigen	aangekondigd
aan_leggen	aangelegd
aan_nemen	aangenomen
aan_pakken	aangepakt
aan_passen	aangepast
aan_sluiten	aangesloten
aan_stellen	aangesteld
aan_tasten	aangetast
aan_tonen	aangetoond
aan_treffen	aangetroffen
aan_trekken	aangetrokken
aan_vallen	aangevallen
aan_voeren	aangevoerd
aan_vullen	aangevuld
aan_wijzen	aangewezen
aangezien	aangezien
aan_hechting	aanhechting
aan_houden	aanhoudende
aan_komen	aankomen
aan_leggen	aanleggen
aan_nemen	aannemen
aan_sluiten	aansluiten
aanwezig	aanwezigen
aard_gas	aardgas
aarts_bisschop	aartsbisschop
acht	achtste
achttien	achttiende
actie_comité	actiecomite
adel	adel
af_breken	afbreken
af_beelden	afgebeeld
af_kondigen	afgekondigd
af_leiden	afgeleid
af_lopen	afgelopen
af_ronden	afgerond
af_schaffen	afgeschaft
af_sluiten	afgesloten
af_snijden	afgesneden
af_spreken	afgesproken
af_vaardigen	afgevaardigden
af_voeren	afgevoerd
af_wijzen	afgewezen
af_zetten	afgezet
af_zien	afgezien
Afghanistan	afghanistan
af_leggen	afleggen
af_schaffen	afschaffen
af_treden	aftreden
af_vragen	afvragen
af_wijken	afwijkende
af_zetten	afzetten
Agalev	agalev
Albert	albert
Alexander	alexander
algemeen	algemene
alhoewel	alhoewel
aller_eerst	allereerst
alsmede	alsmede
alsook	alsook
altaar_stuk	altaarstuk
alvorens	alvorens
Andras	andras
annex	annex
anno	anno
Antwerpen	antwerpen
arbeid	arbeid
Arie	arie
atoom_bom	atoombom
auto_snel_weg	autosnelweg
bijvoorbeeld	b.v.
baksteen	bakstenen
band	banden
bank_biljet	bankbiljetten
BARCLAY	barclay
bedevaart_oord	bedevaartsoord
bedrijven	bedreven
begraaf_plaats	begraafplaats
behoeve	behoeve
behoud	behoud
beide	beiden
bejaard	bejaarden
bekend	bekende
beleg	beleg
Bergues	bergues
beslissen	beslissend
beslissen	beslissende
besluiten	besloten
betaal_middel	betaalmiddel
betrekken	betrokkenen
bevredigen	bevredigend
bewonen	bewoond
bezig_houden	bezighouden
bezwaar	bezwaren
bieleman	bielemannen
bij_zetten	bijgezet
binnen_vallen	binnengevallen
