a	A
ale	ALE
ach	Ach
ale	Ale
ależ	Ależ
bank	Bank
bank	Banku
Betlejem	Betlejem
biskup	Biskup
bo	Bo
Bóg	Bogiem
Bóg	Bogu
Bogusław	Bogusława
Bolesław	Bolesława
boski	Boskiej
być	Był
być	Była
być	Będzie
być	Będę
cesarz	Cesarz
cesarz	Cesarza
chociaż	Chociaż
chyba	Chyba
ty	Ci
ty	Cię
co	Co
coś	Coś
czy	Czy
DNA	DNA
do	DO
Dawid	Dawida
dla	Dla
dlaczego	Dlaczego
dlatego	Dlatego
do	Do
dobry	Dobry
duch	Ducha
dziennik	Dzienniku
dzień	Dzień
Gdańsk	Gdańska
gdyby	Gdyby
gospodarka	Gospodarki
grupa	Grupy
Góra	Górze
główny	Głównej
Henryk	Henryka
i	I
izba	Izbie
izba	Izby
jmć	JMć
ja	Ja
Jacek	Jacka
jak	Jak
jaki	Jaki
jaki	Jakie
jako	Jako
Jan	Jana
Jarosław	Jarosława
on	Jego
być	Jest
być	Jestem
być	Jesteśmy
jeszcze	Jeszcze
jeśli	Jeśli
jeżeli	Jeżeli
Jurek	Jurka
już	Już
Józef	Józefa
Kazimierz	Kazimierza
każdy	Każdy
komenda	Komendy
kościół	Kościele
kościół	Kościoła
kościół	Kościół
Krzysztof	Krzysztofa
król	Króla
Królestwo	Królestwa
kto	Kto
Leszek	Leszka
być	M
ja	MNIE
mieć	Macie
Maciek	Maciek
mieć	Mam
mieć	Mamy
mieć	Masz
Maciek	Maćka
miasto	Miasta
miasto	Miasto
mieć	Miał
miejski	Miejskiego
miejski	Miejskiej
mieć	Mieli
mimo	Mimo
między	Między
ja	Mnie
mój	Moja
może	Może
można	Można
musieć	Musiał
musieć	Musimy
musieć	Musisz
musieć	Muszę
my	My
myśleć	Myślę
mój	Mój
mść	Mści
na	NA
nie	NIE
na	Na
nasz	Nasze
nauka	Nauk
nawet	Nawet
New	New
nic	Nic
nie	Nie
niech	Niech
niestety	Niestety
nigdy	Nigdy
nikt	Nikt
no	No
o	O
on	ON
OSP	OSP
oby	Oby
od	Od
on	On
on	Ona
on	Oni
oto	Oto
pan	Pana
panna	Panny
pan	Panowie
pan	Panów
papież	Papieża
partia	Partii
Paweł	Pawła
pałac	Pałacu
pański	Pańskim
po	Po
podczas	Podczas
podobno	Podobno
Polak	Polaków
Polka	Polki
polski	Polskich
polski	Polskim
ponieważ	Ponieważ
poza	Poza
praca	Pracy
Praga	Pradze
przecież	Przecież
przed	Przed
przed	Przede
przez	Przez
rada	Rada
rada	Radzie
Robert	Robert
rok	Roku
Roman	Romana
się	SIĘ
sam	Sama
skoro	Skoro
skąd	Skąd
Stany	Stanach
straż	Straży
strona	Stron
sykiel	Syklów
Szczecin	Szczecina
Szczecin	Szczecinie
szkoda	Szkoda
szkoła	Szkoły
być	Są
to	TO
ten	Ta
tak	Tak
taki	Taki
ten	Ten
teraz	Teraz
to	To
tu	Tu
twój	Twoim
