ci	-ci
lui	-elle
lui	-il
lui	-ils
moi	-je
là	-là
moi	-moi
lui	-t-elle
lui	-t-il
on	-t-on
toi	-tu
deux	.ii.
trois	.iii.
neuf	.ix.
neuvième	.ixe.
cinq	.v.
569	.vcclxix.
566	.vcclxvi.
567	.vcclxvii.
six	.vi.
huit	.viii.
seize	.xvi.
dix-sept	.xvii.
vingt	.xx.
vingt-cinq	.xxv.
trente	.xxx.
AS	AS
Ain	Ain
Allés	Allés
Alsace-Lorraine	Alsace-Lorraine
Argentine	Argentine
Argentin	Argentins
Asseline	Asselyne
Aube	Aube
Auguste	Auguste
Aurigny	Aureny
BD	BD
Barre	Barre
Benoît	Benoît
Berne	Berne
Billot	Billot
Black	Black
Blondel	Blondell
Bob	Bob
Bon	Bon
Bourgogne	Bourgogne
Bravo	Bravo
Brésil	Brésil
Calais	Calais
Calles	Calles
Cannes	Cannes
Cap	Cap
Caraïbes	Caraïbes
Caroline	Caroline
Câtel	Catell
Charente-Maritime	Charente-Maritime
Charlot	Charlot
Chevalier	Chevalier
Chili	Chili
Chine	Chine
Christ	Christ
Claire	Claire
Clément	Clément
Cognac	Cognac
Collas	Collas
Colombie-Britannique	Colombie-Britannique
congrès	Congrès
Corporation	Corporation
coutume	Coustume
Cucuel	Cucuell
César	César
D	D
Damas	Damas
Desperques	Desperque
Dieu	Dieu
Don	Don
épar	EPAR
être	ETRE
église	Eglise
lui	Elle
Ayamonte	Emontey
Écossais	Escossoes
Espagne	Espaingne
Etats-Unis	Etats-Unis
Falmouth	Fallemue
Fèvre	Feyvre
Figaro	Figaro
Flocel	Flocell
Fontaine	Fontaine
Fort	Fort
François	Françoys
Galles	Galles
Gallienne	Gallyenne
Girl	Girl
Gironde	Gironde
Golden	Golden
Green	Green
Group	Group
Guillaume	Guillaume
Guillaume	Guillome
Hall	Hall
Hart	Hart
Hauts-de-Seine	Hauts-de-Seine
Havre	Havre
Hellier	Hellyer
Irlande	Hyrlande
IVe	IVe
je	Ie
lui	Il
Inde	Inde
Innocent	Innocent
juge	Iuge
justice	Iustice
Ivoire	Ivoire
moi	J'
Jack	Jack
Japon	Japon
moi	Je
