a	A
ali	ALI
akademski	Akademskem
Al	Al
biti	BI
biti	BIL
biti	BILA
biti	BILI
biti	BITI
biti	BODO
Bih	BiH
bog	Bog
bog	Boga
Branko	Branko
Celjan	Celjanov
da	DA
delo	DELO
delo	DELU
do	DO
da	Da
do	Do
foto	Foto
G.	G.
I.	I.
in	IN
iz	IZ
in	In
iskra	Iskra
biti	JE
on	JI
on	JIH
on	JO
ja	Ja
jaz	Jaz
k	K
kar	KAR
kateri	KATERIH
ker	KER
ki	KI
kjer	KJER
ko	KO
kot	KOT
kaj	Kaj
kako	Kako
kar	Kar
Kate	Kate
kdo	Kdo
ker	Ker
ko	Ko
kot	Kot
L.	L.
lahko	LAHKO
le	LE
list	LIST
la	La
med	MED
moj	Moj
na	NA
naj	NAJ
ne	NE
biti	NI
biti	NISO
njen	NJEN
na	Na
naj	Naj
ne	Ne
Netflix	Netflixu
Nina	Nina
biti	Nisem
nič	Nič
no	No
nov	Nove
nov	Novem
nov	Novi
nov	Novo
o	O
ob	OB
oziroma	OZIROMA
od	Od
orto	Orto
pa	PA
PET	PET
po	PO
pred	PRED
pri	PRI
po	Po
pod	Pod
pred	Pred
pri	Pri
z	S
se	SE
se	SI
sicer	SICER
SIT	SIT
biti	SO
biti	STA
svoj	SVOJI
saj	Saj
se	Se
seveda	Seveda
ta	TEM
ter	TER
ta	TO
tudi	TUDI
ti	Ti
ta	To
tudi	Tudi
v	V
vendar	VENDAR
ves	VSEH
ti	Vam
vendar	Vendar
vsak	Vsak
z	Z
za	ZA
zaradi	ZARADI
za	Za
zato	Zato
ako	ako
antibiotik	antibiotikov
baje	baje
bati	bal
bodisi	bodisi
bravo	bravo
bržkone	bržkone
bržčas	bržčas
cimer	cimra
cirka	cirka
dalje	dalje
dati	damo
de	de
desen	desni
dobivati	dobiva
dolgoročno	dolgoročno
določiti	določili
domala	domala
edino	edino
epidemija	epidemije
glede	glede
glih	glih
govoriti	govori
govoriti	govoril
k	h
hoditi	hodiš
hoteti	hotele
hoteti	hoteli
hud	hujših
i.	i.
igrati	igram
intenziven	intenzivne
iskati	iskal
iskreno	iskreno
itak	itak
izključno	izključno
izmed	izmed
izpod	izpod
izven	izven
izza	izza
k	k
ka	ka
kajne	kajne
kajneda	kajneda
kajpak	kajpak
kajti	kajti
kamor	kamor
kao	kao
koli	koli
kolikor	kolikor
kurec	kurac
leto	leti
leto	letih
m	m
ma	ma
majčkeno	majčkeno
manj	manj
Marco	marco
marveč	marveč
jaz	me
menda	menda
merilo	merilo
metapodatek	metapodatkov
met	meti
jaz	mi
mimo	mimo
mirno	mirno
mnogo	mnogo
morati	morali
morati	moralo
morebiti	morebiti
najbrž	najbrž
najmanj	najmanj
najraje	najraje
največ	največ
namesto	namesto
nase	nase
nasproti	nasproti
natančno	natančno
nato	nato
navadno	navadno
navkljub	navkljub
nedavno	nedavno
nek	nek
nekoliko	nekoliko
nemara	nemara
nikar	nikar
niti	niti
no	no
nobeden	nobeden
nositi	nosil
hoteti	nočem
ob	ob
odkar	odkar
odkriti	odkriti
odkrito	odkrito
odločno	odločno
odrasel	odrasli
ogromno	ogromno
okoli	okoli
okrog	okrog
opraviti	opravili
osmi	osmi
ostro	ostro
ovi	ovi
oz.	oz.
oči	oči
pojem	pojem
pol	pol
poleg	poleg
pomeniti	pomeni
posredno	posredno
postopno	postopno
potekati	poteka
potrditi	potrdil
povečati	povečala
prav	prav
praviloma	praviloma
pravočasno	pravočasno
pravzaprav	pravzaprav
preden	preden
predvsem	predvsem
prehitro	prehitro
prej	prej
prek	prek
preko	preko
premalo	premalo
premier	premier
pretirano	pretirano
preveč	preveč
previdno	previdno
prevzeti	prevzeti
preživeti	preživeli
približno	približno
pripraviti	pripravim
priznavati	priznava
procent	procentov
proti	proti
r	r
raje	raje
ravno	ravno
relativno	relativno
res	res
rojen	rojen
z	s
saj	saj
samo	samo
sedaj	sedaj
sedanji	sedanji
biti	sem
sicer	sicer
skorajda	skorajda
skrbno	skrbno
slučajno	slučajno
soditi	sodi
sočasno	sočasno
sporočiti	sporočili
sprejet	sprejet
spričo	spričo
sredi	sredi
star	starejše
strel	strel
strogo	strogo
takole	takole
tekom	tekom
tale	tele
temeljiti	temelji
ta	temi
tale	temle
temveč	temveč
ter	ter
tikati	tiče
toliko	toliko
torej	torej
trije	tri
u	u
unija	uniji
uspeti	uspeli
ti	vam
ti	vami
ti	vas
vedeti	ve
ven	ven
vendarle	vendarle
več	več
volitev	volitev
volitev	volitvah
vračati	vrača
vsekakor	vsekakor
vzdolž	vzdolž
zaposlen	zaposlenih
zase	zase
zato	zato
zaviti	zaviješ
zelen	zelene
zgolj	zgolj
zlasti	zlasti
zraven	zraven
če	ČE
če	Če
četudi	četudi
čez	čez
češ	češ
čisto	čisto
črnec	črnca
še	ŠE
šele	ŠELE
št.	ŠT.
še	Še
šele	šele
že	ŽE
želeti	želi
živeti	živim
