2	II
19	XIX
18	XVIII
20	XX
19	xix
20	xx
არის	ა
ასე_შემდეგ	ა.შ
ასე_შემდეგ	ა.შ.
აგებულება	აგებულებასა
აგებულება	აგებულების
აგებულება	აგებულებისა
ადამიანი	ადამიანების
ადგილი	ადგილ
აზერბაიჯანი	აზერბაიჯანის
ეს	ამავე
ეს(ე)	ამას
თქმა	ამბობს
ამგვარი	ამგვარი
ეს(ე)	ამისა
ამიტომ	ამიტომ
ან	ან
ანუ	ანუ
არა	არა
არავინ	არავის
არამედ	არამედ
არასოდეს	არასოდეს
არსებული	არსებულ
არსებული	არსებული
არც	არც
სახავს	ასახავს
აქ	აქ
აღიარებული	აღიარებული
აღმოსავლეთი	აღმოსავლეთ
წერს	აღწერს
ბაზარი	ბაზარ
ბერძნული	ბერძნ.
გაგება	გაგებით
გასვლა	გავიდა
გავრცელება	გავრცელების
ხსნის	გაიხსნა
გამო	გამო
იმუშავებს	გამოიმუშავებს
იყენებაა	გამოიყენება
ყოფს	გამოიყოფა
გამოქვეყნებული	გამოქვეყნებული
გამოყენება	გამოყენებით
გამოყენება	გამოყენების
გამოყენებული	გამოყენებული
გამო	გამოც
გან	გან
აპირობებს	განაპირობებს
არჩევს	განარჩევენ
ასხვავებს	განასხვავებენ
ეკუთვნის	განეკუთვნება
გან	განვე
საზღვრავს	განისაზღვრება
განიხილავს	განიხილება
განლაგება	განლაგების
განპირობებული	განპირობებული
გარდა	გარდა
ხდის	გახდა
გახსნა	გახსნა
გოლჯი	გოლჯის
გრძნობა	გრძნობს
გული	გულ
აარსებს	დაარსდა
დადგენა	დადგენა
დაზღვევა	დაზღვევის
დაკვირვება	დაკვირვებები
დამოუკიდებელი	დამოუკიდებელ
დამწერლობა	დამწერლობის
დან	დან
დარგი	დარგ
დარგი	დარგებ
დარგი	დარგები
დასავლეთი	დასავლეთ
დასაწყისი	დასაწყის
დაყრდნობა	დაყრდნობით
დაწყებული	დაწყებული
დე	დე
მდე	დმი
დონე	დონი
დრო	დროი
დრო	დროსაც
ესე_იგი	ე.ი.
ეგრეთ_წოდებული	ე.წ.
ამყარებს	ემყარება
ენა	ენებ
ენა	ენი
ენობრივი	ენობრივ
ერთი	ერთ
ერთ-ერთი	ერთ-ერთ
ერთად	ერთად
ერთმანეთი	ერთმანეთ
